id,name,type,displayName,iconUrl,backgroundUrl,backgroundMusicUrl
0,China,country,,,,
1,Democratic People's Republic of Korea,country,,,,
2,Cambodia,country,,,,
3,Indonesia,country,,,,
4,Lao People's Democratic Republic,country,,,,
5,Malaysia,country,,,,
6,Maldives,country,,,,
7,Myanmar,country,,,,
8,Philippines,country,,,,
9,Sri Lanka,country,,,,
10,Thailand,country,,,,
11,Timor-Leste,country,,,,
12,Viet Nam,country,,,,
13,Fiji,country,,,,
14,Kiribati,country,,,,
15,Marshall Islands,country,,,,
16,Micronesia (Federated States of),country,,,,
17,Papua New Guinea,country,,,,
18,Samoa,country,,,,
19,Solomon Islands,country,,,,
20,Tonga,country,,,,
21,Vanuatu,country,,,,
22,Armenia,country,,,,
23,Azerbaijan,country,,,,
24,Georgia,country,,,,
25,Kazakhstan,country,,,,
26,Kyrgyzstan,country,,,,
27,Mongolia,country,,,,
28,Tajikistan,country,,,,
29,Turkmenistan,country,,,,
30,Uzbekistan,country,,,,
31,Albania,country,,,,
32,Bosnia and Herzegovina,country,,,,
33,Bulgaria,country,,,,
34,Croatia,country,,,,
35,Czechia,country,,,,
36,Hungary,country,,,,
37,North Macedonia,country,,,,
38,Montenegro,country,,,,
39,Poland,country,,,,
40,Romania,country,,,,
41,Serbia,country,,,,
42,Slovakia,country,,,,
43,Slovenia,country,,,,
44,Belarus,country,,,,
45,Estonia,country,,,,
46,Latvia,country,,,,
47,Lithuania,country,,,,
48,Moldova (the Republic of),country,,,,
49,Russian Federation,country,,,,
50,Ukraine,country,,,,
51,Brunei Darussalam,country,,,,
52,Japan,country,,,,
53,Republic of Korea,country,,,,
54,Singapore,country,,,,
55,Australia,country,,,,
56,New Zealand,country,,,,
57,Andorra,country,,,,
58,Austria,country,,,,
59,Belgium,country,,,,
60,Cyprus,country,,,,
61,Denmark,country,,,,
62,Finland,country,,,,
63,France,country,,,,
64,Germany,country,,,,
65,Greece,country,,,,
66,Iceland,country,,,,
67,Ireland,country,,,,
68,Israel,country,,,,
69,Italy,country,,,,
70,Luxembourg,country,,,,
71,Malta,country,,,,
72,Netherlands,country,,,,
73,Norway,country,,,,
74,Portugal,country,,,,
75,Spain,country,,,,
76,Sweden,country,,,,
77,Switzerland,country,,,,
78,United Kingdom,country,,,,
79,Argentina,country,,,,
80,Chile,country,,,,
81,Uruguay,country,,,,
82,Canada,country,,,,
83,United States of America,country,,,,
84,Antigua and Barbuda,country,,,,
85,Bahamas,country,,,,
86,Barbados,country,,,,
87,Belize,country,,,,
88,Cuba,country,,,,
89,Dominica,country,,,,
90,Dominican Republic,country,,,,
91,Grenada,country,,,,
92,Guyana,country,,,,
93,Haiti,country,,,,
94,Jamaica,country,,,,
95,Saint Lucia,country,,,,
96,Saint Vincent and the Grenadines,country,,,,
97,Suriname,country,,,,
98,Trinidad and Tobago,country,,,,
99,Bolivia (Plurinational State of),country,,,,
100,Ecuador,country,,,,
101,Peru,country,,,,
102,Colombia,country,,,,
103,Costa Rica,country,,,,
104,El Salvador,country,,,,
105,Guatemala,country,,,,
106,Honduras,country,,,,
107,Mexico,country,,,,
108,Nicaragua,country,,,,
109,Panama,country,,,,
110,Venezuela (Bolivarian Republic of),country,,,,
111,Brazil,country,,,,
112,Paraguay,country,,,,
113,Algeria,country,,,,
114,Bahrain,country,,,,
115,Egypt,country,,,,
116,Iran (Islamic Republic of),country,,,,
117,Iraq,country,,,,
118,Jordan,country,,,,
119,Kuwait,country,,,,
120,Lebanon,country,,,,
121,Libya,country,,,,
122,Morocco,country,,,,
123,Palestine,country,,,,
124,Oman,country,,,,
125,Qatar,country,,,,
126,Saudi Arabia,country,,,,
127,Syrian Arab Republic,country,,,,
128,Tunisia,country,,,,
129,Türkiye,country,,,,
130,United Arab Emirates,country,,,,
131,Yemen,country,,,,
132,Afghanistan,country,,,,
133,Bangladesh,country,,,,
134,Bhutan,country,,,,
135,India,country,,,,
136,Nepal,country,,,,
137,Pakistan,country,,,,
138,Angola,country,,,,
139,Central African Republic,country,,,,
140,Congo,country,,,,
141,Democratic Republic of the Congo,country,,,,
142,Equatorial Guinea,country,,,,
143,Gabon,country,,,,
144,Burundi,country,,,,
145,Comoros,country,,,,
146,Djibouti,country,,,,
147,Eritrea,country,,,,
148,Ethiopia,country,,,,
149,Kenya,country,,,,
150,Madagascar,country,,,,
151,Malawi,country,,,,
152,Mauritius,country,,,,
153,Mozambique,country,,,,
154,Rwanda,country,,,,
155,Seychelles,country,,,,
156,Somalia,country,,,,
157,"Tanzania, the United Republic of",country,,,,
158,Uganda,country,,,,
159,Zambia,country,,,,
160,Botswana,country,,,,
161,Lesotho,country,,,,
162,Namibia,country,,,,
163,South Africa,country,,,,
164,Eswatini,country,,,,
165,Zimbabwe,country,,,,
166,Benin,country,,,,
167,Burkina Faso,country,,,,
168,Cameroon,country,,,,
169,Cabo Verde,country,,,,
170,Chad,country,,,,
171,Côte d'Ivoire,country,,,,
172,Gambia,country,,,,
173,Ghana,country,,,,
174,Guinea,country,,,,
175,Guinea-Bissau,country,,,,
176,Liberia,country,,,,
177,Mali,country,,,,
178,Mauritania,country,,,,
179,Niger (the),country,,,,
180,Nigeria,country,,,,
181,Sao Tome and Principe,country,,,,
182,Senegal,country,,,,
183,Sierra Leone,country,,,,
184,Togo,country,,,,
185,American Samoa,country,,,,
186,Bermuda,country,,,,
187,Cook Islands,country,,,,
188,Greenland,country,,,,
189,Guam,country,,,,
190,Monaco,country,,,,
191,Nauru,country,,,,
192,Niue,country,,,,
193,Northern Mariana Islands,country,,,,
194,Palau,country,,,,
195,Puerto Rico,country,,,,
196,Saint Kitts and Nevis,country,,,,
197,San Marino,country,,,,
198,Tokelau,country,,,,
199,Tuvalu,country,,,,
200,South Sudan,country,,,,
201,Sudan,country,,,,